INFO: Using cached summary.
INFO: Checking record 'GCF_004355245.1'
INFO: Checking record 'GCF_010727945.1'
INFO: Checking record 'GCF_013466425.1'
INFO: Checking record 'GCF_000018345.1'
INFO: Checking record 'GCF_000723425.2'
INFO: Checking record 'GCF_010727125.1'
INFO: Checking record 'GCF_900187145.1'
INFO: Checking record 'GCF_900078775.1'
INFO: Checking record 'GCF_900637195.1'
INFO: Checking record 'GCF_010727725.1'
INFO: Checking record 'GCF_900637205.1'
INFO: Checking record 'GCF_010726955.1'
INFO: Checking record 'GCF_010728925.1'
INFO: Checking record 'GCF_000317305.3'
INFO: Checking record 'GCF_010726245.1'
INFO: Checking record 'GCF_000266905.1'
INFO: Checking record 'GCF_000016365.1'
INFO: Checking record 'GCF_000184435.1'
INFO: Checking record 'GCF_000013925.1'
INFO: Checking record 'GCF_002355775.1'
INFO: Checking record 'GCF_001655245.1'
INFO: Checking record 'GCF_000739085.1'
INFO: Checking record 'GCF_000760905.2'
INFO: Checking record 'GCF_001620305.1'
INFO: Checking record 'GCF_000010105.1'
INFO: Checking record 'GCF_000454045.1'
INFO: Checking record 'GCF_000696675.2'
INFO: Checking record 'GCF_000062885.1'
INFO: Checking record 'GCF_000023865.1'
INFO: Checking record 'GCF_000058485.1'
INFO: Checking record 'GCF_000025345.1'
INFO: Checking record 'GCF_000284295.1'
INFO: Checking record 'GCF_003711105.1'
INFO: Checking record 'GCF_003208035.1'
INFO: Checking record 'GCF_000359525.1'
INFO: Checking record 'GCF_001577385.1'
INFO: Checking record 'GCF_013693715.1'
INFO: Checking record 'GCF_015601545.1'
INFO: Checking record 'GCF_001267885.1'
INFO: Checking record 'GCF_003330865.1'
INFO: Checking record 'GCF_002082605.1'
INFO: Checking record 'GCF_013085465.1'
INFO: Checking record 'GCF_001693675.1'
INFO: Checking record 'GCF_003454755.1'
INFO: Checking record 'GCF_005519465.1'
INFO: Checking record 'GCF_015708605.1'
INFO: Checking record 'GCF_015767735.1'
INFO: Checking record 'GCF_015767755.1'
INFO: Checking record 'GCF_015767775.1'
INFO: Checking record 'GCF_015767795.1'
INFO: Checking record 'GCF_015767815.1'
INFO: Checking record 'GCF_015767855.1'
INFO: Checking record 'GCF_015767875.1'
INFO: Checking record 'GCF_015767895.1'
INFO: Checking record 'GCF_015767915.1'
INFO: Checking record 'GCF_015767935.1'
INFO: Checking record 'GCF_008931305.1'
INFO: Checking record 'GCF_008704425.1'
INFO: Checking record 'GCF_000761215.1'
INFO: Checking record 'GCF_000261345.2'
INFO: Checking record 'GCF_000010605.1'
INFO: Checking record 'GCF_000245355.1'
INFO: Checking record 'GCF_000340845.1'
INFO: Checking record 'GCF_001447075.1'
INFO: Checking record 'GCF_001685355.1'
INFO: Checking record 'GCF_003344445.1'
INFO: Checking record 'GCF_014083905.1'
INFO: Checking record 'GCF_000739105.1'
INFO: Checking record 'GCF_000091305.1'
INFO: Checking record 'GCF_008632955.1'
INFO: Checking record 'GCF_002082175.1'
INFO: Checking record 'GCF_002192455.1'
INFO: Checking record 'GCF_002777535.1'
INFO: Checking record 'GCF_008704935.1'
