8	1	1	1.00
12	1	1	1.00
53	12	10	0.83
68	433	330	0.76
74	657	285	0.43
124	1	1	1.00
133	30	25	0.83
195	566	2	0.00
227	3	3	1.00
230	24	1	0.04
235	1459	1014	0.69
239	5	2	0.40
243	1	1	1.00
247	1	1	1.00
258	1	1	1.00
259	1	1	1.00
266	83	63	0.76
270	3	3	1.00
280	1	1	1.00
313	1	1	1.00
319	3	2	0.67
342	3	1	0.33
346	82	36	0.44
354	7	6	0.86
361	237	145	0.61
367	332	134	0.40
370	23	7	0.30
381	7	1	0.14
384	5	5	1.00
391	1	1	1.00
405	2	2	1.00
414	1	1	1.00
417	1	1	1.00
